dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,9.998835,26.166666,0.000003,0.001250,0.250000,50.000000,0.000999
0.005000,9.998836,26.166666,0.000005,0.000291,-0.191783,-88.356621,0.000997
0.005000,9.998840,26.166666,0.000008,0.000655,0.072772,52.910951,0.000995
0.005000,9.998845,26.166666,0.000014,0.001164,0.101882,5.822029,0.000990
0.005000,9.998855,26.166666,0.000023,0.001819,0.130994,5.822486,0.000982
0.005000,9.998868,26.166666,0.000036,0.002620,0.160110,5.823234,0.000971
0.005000,9.998885,26.166666,0.000054,0.003566,0.189232,5.824346,0.000955
0.005000,9.998909,26.166666,0.000077,0.004658,0.218362,5.825894,0.000935
0.005000,9.998938,26.166666,0.000106,0.005895,0.247501,5.827952,0.000910
0.005000,9.998975,26.166666,0.000143,0.007279,0.276654,5.830593,0.000879
0.005000,9.999019,26.166666,0.000187,0.008808,0.305824,5.833889,0.000841
0.005000,9.999071,26.166666,0.000239,0.010483,0.335013,5.837915,0.000796
0.005000,9.999133,26.166666,0.000301,0.012304,0.364227,5.842742,0.000744
0.005000,9.999204,26.166666,0.000372,0.014271,0.393469,5.848445,0.000682
0.005000,9.999286,26.166666,0.000454,0.016385,0.422745,5.855096,0.000612
0.005000,9.999379,26.166667,0.000547,0.018645,0.452059,5.862771,0.000532
0.005000,9.999484,26.166667,0.000653,0.021052,0.481416,5.871543,0.000442
0.005000,9.999602,26.166667,0.000771,0.023607,0.510824,5.881486,0.000341
0.005000,9.999734,26.166667,0.000902,0.026308,0.540287,5.892675,0.000228
0.005000,9.999880,26.166667,0.001048,0.029157,0.569813,5.905186,0.000103
0.005000,10.000388,26.166667,0.001556,0.101567,14.481915,2782.420300,6.283151
0.005000,10.002077,26.166666,0.003245,0.337935,47.273675,6558.352155,6.282999
0.005000,10.003924,26.166666,0.005092,0.369314,6.275885,-8199.558032,6.282834
0.005000,10.005934,26.166665,0.007102,0.402079,6.552953,55.413470,6.282654
0.005000,10.008115,26.166664,0.009284,0.436228,6.829690,55.347568,6.282458
0.005000,10.010474,26.166662,0.011642,0.471758,7.106070,55.276012,6.282246
0.005000,10.013019,26.166659,0.014188,0.509039,7.456280,70.041983,6.282018
0.005000,10.015757,26.166656,0.016925,0.547504,7.692846,47.313056,6.281772
0.005000,10.018693,26.166651,0.019861,0.587207,7.940679,49.566758,6.281508
0.005000,10.021834,26.166645,0.023003,0.628285,8.215594,54.982933,6.281225
0.005000,10.025191,26.166638,0.026359,0.671309,8.604836,77.848360,6.280923
0.005000,10.028767,26.166630,0.029935,0.715269,8.791936,37.420007,6.280600
0.005000,10.032570,26.166619,0.033738,0.760499,9.046104,50.833617,6.280257
0.005000,10.036608,26.166606,0.037777,0.807723,9.444638,79.706752,6.279892
0.005000,10.040888,26.166592,0.042056,0.855906,9.636652,38.402946,6.279506
0.005000,10.045415,26.166574,0.046583,0.905431,9.904961,53.661758,6.279096
0.005000,10.050200,26.166553,0.051368,0.956943,10.302549,79.517552,6.278663
0.005000,10.055245,26.166529,0.056413,1.009065,10.424293,24.348838,6.278205
0.005000,10.060562,26.166502,0.061731,1.063499,10.886858,92.512882,6.277722
0.005000,10.066154,26.166470,0.067323,1.118466,10.993461,21.320667,6.277214
0.005000,10.072033,26.166433,0.073202,1.175709,11.448610,91.029713,6.276678
0.005000,10.078200,26.166391,0.079369,1.233498,11.557741,21.826364,6.276116
0.005000,10.084668,26.166343,0.085838,1.293682,12.036743,95.800264,6.275525
0.005000,10.091441,26.166290,0.092610,1.354474,12.158463,24.343990,6.274906
0.005000,10.098526,26.166229,0.099695,1.417065,12.518118,71.931131,6.274256
0.005000,10.105932,26.166160,0.107101,1.481237,12.834395,63.255329,6.273577
0.005000,10.113663,26.166083,0.114834,1.546446,13.041837,41.488397,6.272866
0.005000,10.121729,26.165997,0.122900,1.613290,13.368810,65.394693,6.272123
0.005000,10.130138,26.165900,0.131310,1.681917,13.725479,71.333697,6.271346
0.005000,10.138896,26.165793,0.140068,1.751572,13.930932,41.090582,6.270536
0.005000,10.148005,26.165674,0.149178,1.822027,14.090973,32.008201,6.269692
0.005000,10.157467,26.165542,0.158641,1.892578,14.110135,3.832477,6.268812
0.005000,10.167282,26.165397,0.168457,1.963220,14.128425,3.658019,6.267898
0.005000,10.177451,26.165236,0.178627,2.033996,14.155323,5.379617,6.266949
0.005000,10.187974,26.165060,0.189151,2.104864,14.173615,3.658275,6.265964
0.005000,10.198850,26.164867,0.200029,2.175682,14.163590,-2.004967,6.264943
0.005000,10.210081,26.164657,0.211262,2.246574,14.178370,2.956115,6.263886
0.005000,10.221667,26.164427,0.222850,2.317536,14.192279,2.781620,6.262793
0.005000,10.233607,26.164176,0.234794,2.388720,14.236985,8.941248,6.261663
0.005000,10.245904,26.163904,0.247093,2.459908,14.237496,0.102277,6.260496
0.005000,10.258556,26.163610,0.259749,2.531124,14.243274,1.155628,6.259291
0.005000,10.271564,26.163291,0.272761,2.602393,14.253705,2.086211,6.258049
0.005000,10.284928,26.162946,0.286129,2.673709,14.263270,1.912993,6.256769
0.005000,10.298649,26.162575,0.299855,2.745069,14.271972,1.740412,6.255450
0.005000,10.312728,26.162174,0.313940,2.817078,14.401777,25.960981,6.254092
0.005000,10.327165,26.161744,0.328383,2.888598,14.304017,-19.551969,6.252694
0.005000,10.341958,26.161282,0.343184,2.960135,14.307428,0.682051,6.251257
0.005000,10.357113,26.160787,0.358346,3.032434,14.459820,30.478536,6.249780
0.005000,10.372624,26.160257,0.373867,3.104201,14.353250,-21.313984,6.248261
0.005000,10.388496,26.159690,0.389748,3.176342,14.428356,15.021153,6.246702
0.005000,10.404728,26.159085,0.405992,3.248630,14.457612,5.851202,6.245101
0.005000,10.421320,26.158439,0.422596,3.320899,14.453703,-0.781944,6.243458
0.005000,10.438273,26.157751,0.439563,3.393391,14.498435,8.946479,6.241772
0.005000,10.455588,26.157018,0.456893,3.466071,14.535977,7.508452,6.240042
0.005000,10.473263,26.156239,0.474586,3.538477,14.481241,-10.947306,6.238269
0.005000,10.491303,26.155412,0.492645,3.611798,14.664100,36.571843,6.236452
0.005000,10.509705,26.154534,0.511068,3.684588,14.558031,-21.213755,6.234589
