dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,10.000000,25.000000,0.000003,0.001250,0.250000,50.000000,0.000999
0.005000,10.000000,25.000000,0.000016,0.003750,0.500000,50.000000,0.000997
0.005000,10.000000,25.000000,0.000044,0.007500,0.750000,50.000000,0.000995
0.005000,10.000000,25.000000,0.000094,0.012500,1.000000,50.000000,0.000990
0.005000,10.000000,25.000000,0.000172,0.018750,1.250000,50.000000,0.000982
0.005000,10.000000,25.000000,0.000284,0.026250,1.500000,50.000000,0.000971
0.005000,10.000000,25.000000,0.000438,0.035000,1.750000,50.000000,0.000955
0.005000,10.000000,25.000000,0.000638,0.045000,2.000000,50.000000,0.000935
0.005000,10.000000,25.000000,0.000891,0.056250,2.250000,50.000000,0.000910
0.005000,10.000000,25.000000,0.001203,0.068750,2.500000,50.000000,0.000879
0.005000,10.000000,25.000000,0.001581,0.082500,2.750000,50.000000,0.000841
0.005000,10.000000,25.000000,0.002031,0.097500,3.000000,50.000000,0.000796
0.005000,10.000000,25.000000,0.002559,0.113750,3.250000,50.000000,0.000744
0.005000,10.000000,25.000000,0.003172,0.131250,3.500000,50.000000,0.000682
0.005000,10.000000,25.000000,0.003875,0.150000,3.750000,50.000000,0.000612
0.005000,10.000000,25.000000,0.004675,0.170000,4.000000,50.000000,0.000532
0.005000,10.000000,25.000000,0.005578,0.191250,4.250000,50.000000,0.000442
0.005000,10.000000,25.000000,0.006591,0.213750,4.500000,50.000000,0.000341
0.005000,10.000000,25.000000,0.007719,0.237500,4.750000,50.000000,0.000228
0.005000,10.000000,25.000000,0.008969,0.262500,5.000000,50.000000,0.000103
0.005000,10.000347,25.000000,0.010347,0.288750,5.250000,50.000000,6.283151
0.005000,10.001860,25.000000,0.011859,0.316250,5.500000,50.000000,6.282999
0.005000,10.003514,24.999999,0.013513,0.345000,5.750000,50.000000,6.282834
0.005000,10.005314,24.999999,0.015313,0.375000,6.000000,50.000000,6.282654
0.005000,10.007267,24.999997,0.017266,0.406250,6.250000,50.000000,6.282458
0.005000,10.009378,24.999996,0.019378,0.438750,6.500000,50.000000,6.282246
0.005000,10.011657,24.999993,0.021656,0.472500,6.750000,50.000000,6.282018
0.005000,10.014107,24.999990,0.024106,0.507500,7.000000,50.000000,6.281772
0.005000,10.016735,24.999986,0.026734,0.543750,7.250000,50.000000,6.281508
0.005000,10.019547,24.999981,0.029547,0.581250,7.500000,50.000000,6.281225
0.005000,10.022551,24.999975,0.032550,0.620000,7.750000,50.000000,6.280923
0.005000,10.025751,24.999967,0.035750,0.660000,8.000000,50.000000,6.280600
0.005000,10.029153,24.999957,0.039153,0.701250,8.250000,50.000000,6.280257
0.005000,10.032767,24.999946,0.042766,0.743750,8.500000,50.000000,6.279892
0.005000,10.036595,24.999933,0.046594,0.787500,8.750000,50.000000,6.279506
0.005000,10.040644,24.999917,0.050644,0.832500,9.000000,50.000000,6.279096
0.005000,10.044923,24.999899,0.054922,0.878750,9.250000,50.000000,6.278663
0.005000,10.049434,24.999877,0.059434,0.926250,9.500000,50.000000,6.278205
0.005000,10.054188,24.999852,0.064187,0.975000,9.750000,50.000000,6.277722
0.005000,10.059187,24.999824,0.069187,1.025000,10.000000,50.000000,6.277214
0.005000,10.064441,24.999791,0.074441,1.076250,10.250000,50.000000,6.276678
0.005000,10.069953,24.999754,0.079953,1.128750,10.500000,50.000000,6.276116
0.005000,10.075732,24.999711,0.085731,1.182500,10.750000,50.000000,6.275525
0.005000,10.081781,24.999663,0.091781,1.237500,11.000000,50.000000,6.274906
0.005000,10.088109,24.999608,0.098109,1.293750,11.250000,50.000000,6.274256
0.005000,10.094722,24.999547,0.104722,1.351250,11.500000,50.000000,6.273577
0.005000,10.101624,24.999478,0.111625,1.410000,11.750000,50.000000,6.272866
0.005000,10.108823,24.999401,0.118825,1.470000,12.000000,50.000000,6.272123
0.005000,10.116326,24.999315,0.126328,1.531250,12.250000,50.000000,6.271346
0.005000,10.124139,24.999220,0.134141,1.593750,12.500000,50.000000,6.270536
0.005000,10.132263,24.999114,0.142266,1.656250,12.500000,0.000000,6.269692
0.005000,10.140699,24.998996,0.150703,1.718750,12.500000,0.000000,6.268812
0.005000,10.149448,24.998866,0.159453,1.781250,12.500000,0.000000,6.267898
0.005000,10.158509,24.998723,0.168516,1.843750,12.500000,0.000000,6.266949
0.005000,10.167883,24.998567,0.177891,1.906250,12.500000,0.000000,6.265964
0.005000,10.177569,24.998395,0.187578,1.968750,12.500000,0.000000,6.264943
0.005000,10.187567,24.998207,0.197578,2.031250,12.500000,0.000000,6.263886
0.005000,10.197877,24.998003,0.207891,2.093750,12.500000,0.000000,6.262793
0.005000,10.208500,24.997780,0.218516,2.156250,12.500000,0.000000,6.261663
0.005000,10.219435,24.997538,0.229453,2.218750,12.500000,0.000000,6.260496
0.005000,10.230683,24.997276,0.240703,2.281250,12.500000,0.000000,6.259291
0.005000,10.242242,24.996993,0.252266,2.343750,12.500000,0.000000,6.258049
0.005000,10.254113,24.996687,0.264141,2.406250,12.500000,0.000000,6.256769
0.005000,10.266295,24.996357,0.276328,2.468750,12.500000,0.000000,6.255450
0.005000,10.278791,24.996002,0.288828,2.531250,12.500000,0.000000,6.254092
0.005000,10.291598,24.995620,0.301641,2.593750,12.500000,0.000000,6.252694
0.005000,10.304715,24.995210,0.314766,2.656250,12.500000,0.000000,6.251257
0.005000,10.318146,24.994771,0.328203,2.718750,12.500000,0.000000,6.249780
0.005000,10.331888,24.994302,0.341953,2.781250,12.500000,0.000000,6.248261
0.005000,10.345942,24.993800,0.356016,2.843750,12.500000,0.000000,6.246702
0.005000,10.360307,24.993264,0.370391,2.906250,12.500000,0.000000,6.245101
0.005000,10.374983,24.992693,0.385078,2.968750,12.500000,0.000000,6.243458
0.005000,10.389971,24.992084,0.400078,3.031250,12.500000,0.000000,6.241772
0.005000,10.405270,24.991437,0.415391,3.093750,12.500000,0.000000,6.240042
0.005000,10.420879,24.990749,0.431016,3.156250,12.500000,0.000000,6.238269
0.005000,10.436800,24.990019,0.446953,3.218750,12.500000,0.000000,6.236452
0.005000,10.453032,24.989245,0.463203,3.281250,12.500000,0.000000,6.234589
0.005000,10.469574,24.988425,0.479766,3.343750,12.500000,0.000000,6.232681
0.005000,10.486426,24.987556,0.496641,3.406250,12.500000,0.000000,6.230727
0.005000,10.503590,24.986638,0.513828,3.468750,12.500000,0.000000,6.228726
0.005000,10.521063,24.985668,0.531328,3.531250,12.500000,0.000000,6.226677
0.005000,10.538846,24.984643,0.549141,3.593750,12.500000,0.000000,6.224581
0.005000,10.556938,24.983562,0.567266,3.656250,12.500000,0.000000,6.222435
0.005000,10.575341,24.982422,0.585703,3.718750,12.500000,0.000000,6.220240
0.005000,10.594052,24.981222,0.604453,3.781250,12.500000,0.000000,6.217994
0.005000,10.613073,24.979958,0.623516,3.843750,12.500000,0.000000,6.215697
0.005000,10.632402,24.978629,0.642891,3.906250,12.500000,0.000000,6.213349
0.005000,10.652040,24.977232,0.662578,3.968750,12.500000,0.000000,6.210947
0.005000,10.671986,24.975764,0.682578,4.031250,12.500000,0.000000,6.208492
0.005000,10.692240,24.974223,0.702891,4.093750,12.500000,0.000000,6.205983
0.005000,10.712801,24.972606,0.723516,4.156250,12.500000,0.000000,6.203419
0.005000,10.733670,24.970910,0.744453,4.218750,12.500000,0.000000,6.200798
0.005000,10.754846,24.969133,0.765703,4.281250,12.500000,0.000000,6.198120
0.005000,10.776327,24.967271,0.787266,4.343750,12.500000,0.000000,6.195384
0.005000,10.798116,24.965323,0.809141,4.406250,12.500000,0.000000,6.192589
0.005000,10.820209,24.963284,0.831328,4.468750,12.500000,0.000000,6.189734
