dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,10.001165,23.833334,0.000003,0.001250,0.250000,50.000000,0.000999
0.005000,10.001164,23.833334,0.000005,0.000291,-0.191783,-88.356621,0.000997
0.005000,10.001160,23.833334,0.000008,0.000655,0.072772,52.910951,0.000995
0.005000,10.001155,23.833334,0.000014,0.001164,0.101882,5.822029,0.000990
0.005000,10.001145,23.833334,0.000023,0.001819,0.130994,5.822486,0.000982
0.005000,10.001132,23.833334,0.000036,0.002620,0.160110,5.823234,0.000971
0.005000,10.001115,23.833334,0.000054,0.003566,0.189232,5.824346,0.000955
0.005000,10.001091,23.833334,0.000077,0.004658,0.218362,5.825894,0.000935
0.005000,10.001062,23.833334,0.000106,0.005895,0.247501,5.827952,0.000910
0.005000,10.001025,23.833334,0.000143,0.007279,0.276654,5.830593,0.000879
0.005000,10.000981,23.833334,0.000187,0.008808,0.305824,5.833889,0.000841
0.005000,10.000929,23.833334,0.000239,0.010483,0.335013,5.837915,0.000796
0.005000,10.000867,23.833334,0.000301,0.012304,0.364227,5.842742,0.000744
0.005000,10.000796,23.833334,0.000372,0.014271,0.393469,5.848445,0.000682
0.005000,10.000714,23.833334,0.000454,0.016385,0.422745,5.855096,0.000612
0.005000,10.000621,23.833333,0.000547,0.018645,0.452059,5.862771,0.000532
0.005000,10.000516,23.833333,0.000653,0.021052,0.481416,5.871543,0.000442
0.005000,10.000398,23.833333,0.000771,0.023607,0.510824,5.881486,0.000341
0.005000,10.000266,23.833333,0.000902,0.026308,0.540287,5.892675,0.000228
0.005000,10.000120,23.833333,0.001048,0.029157,0.569813,5.905186,0.000103
0.005000,10.000307,23.833333,0.001234,0.037250,1.618676,209.772575,6.283151
0.005000,10.001643,23.833333,0.002571,0.267301,46.010071,8878.279007,6.282999
0.005000,10.003103,23.833333,0.004031,0.292088,4.957548,-8210.504597,6.282834
0.005000,10.004693,23.833332,0.005621,0.317963,5.174885,43.467453,6.282654
0.005000,10.006418,23.833331,0.007346,0.344921,5.391690,43.360995,6.282458
0.005000,10.008283,23.833329,0.009210,0.372961,5.607917,43.245315,6.282246
0.005000,10.010295,23.833327,0.011222,0.402372,5.882177,54.852098,6.282018
0.005000,10.012458,23.833325,0.013386,0.432703,6.066243,36.813086,6.281772
0.005000,10.014778,23.833321,0.015706,0.463997,6.258857,38.522827,6.281508
0.005000,10.017260,23.833316,0.018188,0.496360,6.472477,42.724070,6.281225
0.005000,10.019911,23.833311,0.020839,0.530240,6.775959,60.696379,6.280923
0.005000,10.022735,23.833304,0.023663,0.564836,6.919287,28.665554,6.280600
0.005000,10.025737,23.833296,0.026665,0.600412,7.115125,39.167534,6.280257
0.005000,10.028925,23.833286,0.029853,0.637533,7.424384,61.851797,6.279892
0.005000,10.032302,23.833274,0.033230,0.675384,7.570035,29.130286,6.279506
0.005000,10.035873,23.833260,0.036801,0.714260,7.775333,41.059670,6.279096
0.005000,10.039646,23.833244,0.040574,0.754670,8.081938,61.320972,6.278663
0.005000,10.043624,23.833225,0.044552,0.795522,8.170309,17.674246,6.278205
0.005000,10.047815,23.833203,0.048743,0.838155,8.526680,71.274127,6.277722
0.005000,10.052220,23.833178,0.053148,0.881163,8.601696,15.003288,6.277214
0.005000,10.056850,23.833149,0.057778,0.925916,8.950544,69.769437,6.276678
0.005000,10.061705,23.833116,0.062633,0.971046,9.025982,15.087579,6.276116
0.005000,10.066795,23.833079,0.067723,1.018005,9.391727,73.149004,6.275525
0.005000,10.072122,23.833036,0.073050,1.065381,9.475289,16.712445,6.274906
0.005000,10.077692,23.832988,0.078621,1.114107,9.745093,53.960912,6.274256
0.005000,10.083512,23.832934,0.084441,1.164005,9.979647,46.910795,6.273577
0.005000,10.089585,23.832874,0.090514,1.214643,10.127572,29.584870,6.272866
