dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,25.106996,23.631665,0.000003,0.001250,0.250000,50.000000,4.391178
0.005000,25.106996,23.631664,0.000004,0.000201,-0.209848,-91.969531,4.391177
0.005000,25.106995,23.631662,0.000006,0.000452,0.050190,52.007466,4.391175
0.005000,25.106994,23.631658,0.000010,0.000803,0.070263,4.014750,4.391172
0.005000,25.106992,23.631652,0.000017,0.001255,0.090334,4.014101,4.391166
0.005000,25.106989,23.631643,0.000026,0.001807,0.110399,4.013038,4.391159
0.005000,25.106985,23.631632,0.000038,0.002459,0.130456,4.011456,4.391148
0.005000,25.106980,23.631617,0.000054,0.003211,0.150503,4.009254,4.391134
0.005000,25.106974,23.631597,0.000074,0.004064,0.170534,4.006328,4.391117
0.005000,25.106966,23.631573,0.000099,0.005017,0.190547,4.002573,4.391095
0.005000,25.106956,23.631545,0.000130,0.006070,0.210537,3.997887,4.391069
0.005000,25.106945,23.631510,0.000166,0.007222,0.230497,3.992165,4.391038
0.005000,25.106931,23.631470,0.000208,0.008474,0.250424,3.985305,4.391002
0.005000,25.106916,23.631424,0.000257,0.009826,0.270310,3.977203,4.390960
0.005000,25.106898,23.631370,0.000314,0.011276,0.290149,3.967755,4.390912
0.005000,25.106878,23.631309,0.000378,0.012826,0.309933,3.956857,4.390857
0.005000,25.106855,23.631241,0.000450,0.014474,0.329655,3.944406,4.390795
0.005000,25.106829,23.631164,0.000531,0.016221,0.349307,3.930299,4.390725
0.005000,25.106801,23.631078,0.000622,0.018065,0.368879,3.914431,4.390648
0.005000,25.106417,23.629927,0.001835,0.242706,44.928208,8911.865919,4.390562
0.005000,25.105946,23.628515,0.003324,0.297670,10.992708,-6787.100018,4.390468
0.005000,25.105429,23.626965,0.004957,0.326681,5.802129,-1038.115906,4.390364
0.005000,25.104864,23.625272,0.006742,0.357037,6.071321,53.838434,4.390251
0.005000,25.104249,23.623428,0.008686,0.388739,6.340388,53.813406,4.390128
0.005000,25.103581,23.621428,0.010795,0.421782,6.608558,53.634027,4.389994
0.005000,25.102858,23.619265,0.013076,0.456171,6.877828,53.854075,4.389850
0.005000,25.102078,23.616932,0.015535,0.491904,7.146642,53.762715,4.389694
0.005000,25.101239,23.614424,0.018180,0.528978,7.414818,53.635151,4.389527
