dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,24.000000,24.000000,0.000003,0.001250,0.250000,50.000000,4.391178
0.005000,24.000000,24.000000,0.000016,0.003750,0.500000,50.000000,4.391177
0.005000,24.000000,24.000000,0.000044,0.007500,0.750000,50.000000,4.391175
0.005000,24.000000,24.000000,0.000094,0.012500,1.000000,50.000000,4.391172
0.005000,24.000000,24.000000,0.000172,0.018750,1.250000,50.000000,4.391166
0.005000,24.000000,24.000000,0.000284,0.026250,1.500000,50.000000,4.391159
0.005000,24.000000,24.000000,0.000438,0.035000,1.750000,50.000000,4.391148
0.005000,24.000000,24.000000,0.000638,0.045000,2.000000,50.000000,4.391134
0.005000,24.000000,24.000000,0.000891,0.056250,2.250000,50.000000,4.391117
0.005000,24.000000,24.000000,0.001203,0.068750,2.500000,50.000000,4.391095
0.005000,24.000000,24.000000,0.001581,0.082500,2.750000,50.000000,4.391069
0.005000,24.000000,24.000000,0.002031,0.097500,3.000000,50.000000,4.391038
0.005000,24.000000,24.000000,0.002559,0.113750,3.250000,50.000000,4.391002
0.005000,24.000000,24.000000,0.003172,0.131250,3.500000,50.000000,4.390960
0.005000,24.000000,24.000000,0.003875,0.150000,3.750000,50.000000,4.390912
0.005000,24.000000,24.000000,0.004675,0.170000,4.000000,50.000000,4.390857
0.005000,24.000000,24.000000,0.005578,0.191250,4.250000,50.000000,4.390795
0.005000,24.000000,24.000000,0.006591,0.213750,4.500000,50.000000,4.390725
0.005000,24.000000,24.000000,0.007719,0.237500,4.750000,50.000000,4.390648
0.005000,23.999648,23.998944,0.008969,0.262500,5.000000,50.000000,4.390562
0.005000,23.999212,23.997636,0.010347,0.288750,5.250000,50.000000,4.390468
0.005000,23.998733,23.996202,0.011859,0.316250,5.500000,50.000000,4.390364
0.005000,23.998210,23.994633,0.013513,0.345000,5.750000,50.000000,4.390251
0.005000,23.997640,23.992926,0.015313,0.375000,6.000000,50.000000,4.390128
0.005000,23.997021,23.991073,0.017266,0.406250,6.250000,50.000000,4.389994
0.005000,23.996352,23.989070,0.019378,0.438750,6.500000,50.000000,4.389850
0.005000,23.995630,23.986909,0.021656,0.472500,6.750000,50.000000,4.389694
0.005000,23.994852,23.984586,0.024106,0.507500,7.000000,50.000000,4.389527
0.005000,23.994018,23.982094,0.026734,0.543750,7.250000,50.000000,4.389348
0.005000,23.993125,23.979427,0.029547,0.581250,7.500000,50.000000,4.389157
0.005000,23.992171,23.976579,0.032550,0.620000,7.750000,50.000000,4.388953
0.005000,23.991154,23.973545,0.035750,0.660000,8.000000,50.000000,4.388736
0.005000,23.990071,23.970319,0.039153,0.701250,8.250000,50.000000,4.388505
0.005000,23.988921,23.966894,0.042766,0.743750,8.500000,50.000000,4.388261
0.005000,23.987701,23.963266,0.046594,0.787500,8.750000,50.000000,4.388002
0.005000,23.986410,23.959427,0.050644,0.832500,9.000000,50.000000,4.387729
0.005000,23.985045,23.955373,0.054922,0.878750,9.250000,50.000000,4.387441
0.005000,23.983603,23.951097,0.059434,0.926250,9.500000,50.000000,4.387138
0.005000,23.982084,23.946593,0.064187,0.975000,9.750000,50.000000,4.386819
0.005000,23.980484,23.941856,0.069187,1.025000,10.000000,50.000000,4.386484
0.005000,23.978801,23.936879,0.074441,1.076250,10.250000,50.000000,4.386133
0.005000,23.977033,23.931658,0.079953,1.128750,10.500000,50.000000,4.385766
0.005000,23.975178,23.926186,0.085731,1.182500,10.750000,50.000000,4.385382
0.005000,23.973234,23.920457,0.091781,1.237500,11.000000,50.000000,4.384981
0.005000,23.971198,23.914465,0.098109,1.293750,11.250000,50.000000,4.384562
0.005000,23.969067,23.908205,0.104722,1.351250,11.500000,50.000000,4.384126
0.005000,23.966840,23.901671,0.111625,1.410000,11.750000,50.000000,4.383672
0.005000,23.964514,23.894857,0.118825,1.470000,12.000000,50.000000,4.383200
0.005000,23.962087,23.887758,0.126328,1.531250,12.250000,50.000000,4.382710
0.005000,23.959556,23.880367,0.134141,1.593750,12.500000,50.000000,4.382201
0.005000,23.956919,23.872681,0.142266,1.656250,12.500000,0.000000,4.381674
0.005000,23.954177,23.864702,0.150703,1.718750,12.500000,0.000000,4.381129
0.005000,23.951329,23.856428,0.159453,1.781250,12.500000,0.000000,4.380565
0.005000,23.948374,23.847861,0.168516,1.843750,12.500000,0.000000,4.379984
0.005000,23.945312,23.839000,0.177891,1.906250,12.500000,0.000000,4.379385
0.005000,23.942143,23.829846,0.187578,1.968750,12.500000,0.000000,4.378768
0.005000,23.938865,23.820398,0.197578,2.031250,12.500000,0.000000,4.378135
0.005000,23.935479,23.810657,0.207891,2.093750,12.500000,0.000000,4.377485
0.005000,23.931983,23.800624,0.218516,2.156250,12.500000,0.000000,4.376818
0.005000,23.928378,23.790298,0.229453,2.218750,12.500000,0.000000,4.376135
0.005000,23.924662,23.779679,0.240703,2.281250,12.500000,0.000000,4.375436
