dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,22.893004,24.368335,0.000003,0.001250,0.250000,50.000000,4.391178
0.005000,22.893004,24.368336,0.000004,0.000201,-0.209848,-91.969531,4.391177
0.005000,22.893005,24.368338,0.000006,0.000452,0.050190,52.007466,4.391175
0.005000,22.893006,24.368342,0.000010,0.000803,0.070263,4.014750,4.391172
0.005000,22.893008,24.368348,0.000017,0.001255,0.090334,4.014101,4.391166
0.005000,22.893011,24.368357,0.000026,0.001807,0.110399,4.013038,4.391159
0.005000,22.893015,24.368368,0.000038,0.002459,0.130456,4.011456,4.391148
0.005000,22.893020,24.368383,0.000054,0.003211,0.150503,4.009254,4.391134
0.005000,22.893026,24.368403,0.000074,0.004064,0.170534,4.006328,4.391117
0.005000,22.893034,24.368427,0.000099,0.005017,0.190547,4.002573,4.391095
0.005000,22.893044,24.368455,0.000130,0.006070,0.210537,3.997887,4.391069
0.005000,22.893055,24.368490,0.000166,0.007222,0.230497,3.992165,4.391038
0.005000,22.893069,24.368530,0.000208,0.008474,0.250424,3.985305,4.391002
0.005000,22.893084,24.368576,0.000257,0.009826,0.270310,3.977203,4.390960
0.005000,22.893102,24.368630,0.000314,0.011276,0.290149,3.967755,4.390912
0.005000,22.893122,24.368691,0.000378,0.012826,0.309933,3.956857,4.390857
0.005000,22.893145,24.368759,0.000450,0.014474,0.329655,3.944406,4.390795
0.005000,22.893171,24.368836,0.000531,0.016221,0.349307,3.930299,4.390725
0.005000,22.893199,24.368922,0.000622,0.018065,0.368879,3.914431,4.390648
0.005000,22.892879,24.367961,0.001635,0.202692,36.925385,7311.301333,4.390562
0.005000,22.892478,24.366758,0.002903,0.253578,10.177223,-5349.632429,4.390468
0.005000,22.892037,24.365438,0.004295,0.278319,4.948087,-1045.827296,4.390364
0.005000,22.891556,24.363995,0.005816,0.304214,5.178966,46.175917,4.390251
0.005000,22.891031,24.362424,0.007472,0.331264,5.409983,46.203342,4.390128
0.005000,22.890462,24.360719,0.009269,0.359466,5.640501,46.103646,4.389994
0.005000,22.889846,24.358875,0.011214,0.388827,5.872246,46.348969,4.389850
0.005000,22.889181,24.356887,0.013310,0.419347,6.103915,46.333769,4.389694
0.005000,22.888466,24.354748,0.015565,0.451024,6.335378,46.292681,4.389527
0.005000,22.887698,24.352454,0.017985,0.483857,6.566618,46.247926,4.389348
0.005000,22.886876,24.349998,0.020574,0.517855,6.799549,46.586203,4.389157
0.005000,22.885997,24.347377,0.023339,0.553012,7.031412,46.372579,4.388953
0.005000,22.885061,24.344583,0.026286,0.589330,7.263609,46.439406,4.388736
0.005000,22.884063,24.341612,0.029420,0.626816,7.497300,46.738308,4.388505
0.005000,22.883004,24.338457,0.032747,0.665461,7.728914,46.322613,4.388261
0.005000,22.881881,24.335115,0.036273,0.705280,7.963784,46.974025,4.388002
0.005000,22.880691,24.331578,0.040005,0.746260,8.196040,46.451184,4.387729
0.005000,22.879433,24.327842,0.043947,0.788417,8.431422,47.076571,4.387441
0.005000,22.878105,24.323901,0.048106,0.831738,8.664112,46.537827,4.387138
0.005000,22.876704,24.319750,0.052487,0.876239,8.900280,47.233598,4.386819
0.005000,22.875229,24.315383,0.057096,0.921912,9.134511,46.846379,4.386484
0.005000,22.873677,24.310794,0.061940,0.968762,9.370041,47.105952,4.386133
0.005000,22.872047,24.305979,0.067024,1.016794,9.606474,47.286521,4.385766
0.005000,22.870336,24.300931,0.072354,1.066006,9.842384,47.182104,4.385382
0.005000,22.868542,24.295645,0.077936,1.116400,10.078865,47.296183,4.384981
0.005000,22.866662,24.290116,0.083776,1.167984,10.316779,47.582727,4.384562
0.005000,22.864696,24.284338,0.089880,1.220757,10.554533,47.550722,4.384126
0.005000,22.862640,24.278305,0.096253,1.274721,10.792834,47.660381,4.383672
0.005000,22.860492,24.272012,0.102903,1.329880,11.031711,47.775292,4.383200
0.005000,22.858249,24.265453,0.109834,1.386236,11.271189,47.895586,4.382710
0.005000,22.855910,24.258624,0.117053,1.443792,11.511296,48.021399,4.382201
0.005000,22.853474,24.251520,0.124563,1.501975,11.636507,25.042307,4.381674
0.005000,22.850939,24.244143,0.132364,1.560208,11.646676,2.033725,4.381129
0.005000,22.848304,24.236491,0.140456,1.618494,11.657258,2.116491,4.380565
0.005000,22.845571,24.228565,0.148840,1.676836,11.668256,2.199550,4.379984
0.005000,22.842737,24.220365,0.157517,1.735234,11.679671,2.282898,4.379385
0.005000,22.839803,24.211890,0.166485,1.793691,11.691503,2.366529,4.378768
0.005000,22.836768,24.203140,0.175746,1.852207,11.703047,2.308671,4.378135
0.005000,22.833630,24.194116,0.185300,1.910785,11.715621,2.514891,4.377485
0.005000,22.830391,24.184817,0.195147,1.969431,11.729295,2.734724,4.376818
0.005000,22.827048,24.175243,0.205288,2.028140,11.741785,2.497998,4.376135
0.005000,22.823602,24.165394,0.215723,2.086918,11.755579,2.758815,4.375436
0.005000,22.820051,24.155270,0.226451,2.145770,11.770304,2.945084,4.374721
0.005000,22.816395,24.144870,0.237475,2.204687,11.783535,2.646132,4.373992
0.005000,22.812634,24.134195,0.248793,2.263686,11.799696,3.232190,4.373247
0.005000,22.808766,24.123244,0.260407,2.322756,11.813961,2.853023,4.372487
0.005000,22.804791,24.112018,0.272317,2.381905,11.829898,3.187386,4.371713
0.005000,22.800708,24.100515,0.284522,2.441138,11.846606,3.341662,4.370925
0.005000,22.796517,24.088736,0.297024,2.500446,11.861518,2.982300,4.370123
0.005000,22.792216,24.076681,0.309824,2.559842,11.879266,3.549639,4.369308
0.005000,22.787806,24.064350,0.322920,2.619325,11.896621,3.471045,4.368481
0.005000,22.783284,24.051742,0.336315,2.678895,11.914047,3.485265,4.367640
0.005000,22.778651,24.038856,0.350008,2.738555,11.931879,3.566325,4.366787
0.005000,22.773905,24.025694,0.363999,2.798303,11.949595,3.543251,4.365923
0.005000,22.769047,24.012255,0.378290,2.858147,11.968962,3.873430,4.365047
0.005000,22.764074,23.998538,0.392880,2.918088,11.988057,3.818965,4.364160
0.005000,22.758987,23.984543,0.407771,2.978125,12.007533,3.895131,4.363263
0.005000,22.753784,23.970271,0.422962,3.038263,12.027419,3.977296,4.362356
0.005000,22.748464,23.955720,0.438455,3.098500,12.047412,3.998470,4.361439
