dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,10.001165,16.166666,0.000003,0.001250,0.250000,50.000000,6.282187
0.005000,10.001164,16.166666,0.000005,0.000291,-0.191783,-88.356621,6.282188
0.005000,10.001160,16.166666,0.000008,0.000655,0.072772,52.910951,6.282191
0.005000,10.001155,16.166666,0.000014,0.001164,0.101882,5.822029,6.282196
0.005000,10.001145,16.166666,0.000023,0.001819,0.130994,5.822486,6.282203
0.005000,10.001132,16.166666,0.000036,0.002620,0.160110,5.823234,6.282215
0.005000,10.001115,16.166666,0.000054,0.003566,0.189232,5.824346,6.282230
0.005000,10.001091,16.166666,0.000077,0.004658,0.218362,5.825894,6.282250
0.005000,10.001062,16.166666,0.000106,0.005895,0.247501,5.827952,6.282275
0.005000,10.001025,16.166666,0.000143,0.007279,0.276654,5.830593,6.282306
0.005000,10.000981,16.166666,0.000187,0.008808,0.305824,5.833889,6.282344
0.005000,10.000929,16.166666,0.000239,0.010483,0.335013,5.837914,6.282389
0.005000,10.000867,16.166666,0.000301,0.012304,0.364227,5.842742,6.282442
0.005000,10.000796,16.166666,0.000372,0.014271,0.393469,5.848445,6.282503
0.005000,10.000714,16.166666,0.000454,0.016385,0.422745,5.855096,6.282573
0.005000,10.000621,16.166667,0.000547,0.018645,0.452059,5.862771,6.282653
0.005000,10.000516,16.166667,0.000653,0.021052,0.481416,5.871543,6.282743
0.005000,10.000398,16.166667,0.000771,0.023607,0.510824,5.881486,6.282844
0.005000,10.000266,16.166667,0.000902,0.026308,0.540287,5.892675,6.282957
0.005000,10.000120,16.166667,0.001048,0.029157,0.569813,5.905186,6.283082
0.005000,10.000307,16.166667,0.001234,0.037250,1.618676,209.772575,0.000035
0.005000,10.001643,16.166667,0.002571,0.267301,46.010071,8878.279007,0.000186
0.005000,10.003103,16.166667,0.004031,0.292088,4.957548,-8210.504597,0.000352
0.005000,10.004693,16.166668,0.005621,0.317963,5.174885,43.467453,0.000532
0.005000,10.006418,16.166669,0.007346,0.344921,5.391690,43.360995,0.000727
0.005000,10.008283,16.166671,0.009210,0.372961,5.607917,43.245315,0.000939
0.005000,10.010295,16.166673,0.011222,0.402372,5.882177,54.852098,0.001168
0.005000,10.012458,16.166675,0.013386,0.432703,6.066243,36.813086,0.001414
0.005000,10.014778,16.166679,0.015706,0.463997,6.258857,38.522827,0.001678
0.005000,10.017260,16.166684,0.018188,0.496360,6.472477,42.724070,0.001960
0.005000,10.019911,16.166689,0.020839,0.530240,6.775959,60.696379,0.002263
0.005000,10.022735,16.166696,0.023663,0.564836,6.919287,28.665554,0.002585
0.005000,10.025737,16.166704,0.026665,0.600412,7.115125,39.167534,0.002928
0.005000,10.028925,16.166714,0.029853,0.637533,7.424384,61.851797,0.003293
0.005000,10.032302,16.166726,0.033230,0.675384,7.570035,29.130286,0.003680
0.005000,10.035873,16.166740,0.036801,0.714260,7.775333,41.059670,0.004089
0.005000,10.039646,16.166756,0.040574,0.754670,8.081938,61.320972,0.004523
0.005000,10.043624,16.166775,0.044552,0.795522,8.170309,17.674246,0.004980
0.005000,10.047815,16.166797,0.048743,0.838155,8.526680,71.274127,0.005463
0.005000,10.052220,16.166822,0.053148,0.881163,8.601696,15.003288,0.005972
