dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,10.000000,15.000000,0.000003,0.001250,0.250000,50.000000,6.282187
0.005000,10.000000,15.000000,0.000016,0.003750,0.500000,50.000000,6.282188
0.005000,10.000000,15.000000,0.000044,0.007500,0.750000,50.000000,6.282191
0.005000,10.000000,15.000000,0.000094,0.012500,1.000000,50.000000,6.282196
0.005000,10.000000,15.000000,0.000172,0.018750,1.250000,50.000000,6.282203
0.005000,10.000000,15.000000,0.000284,0.026250,1.500000,50.000000,6.282215
0.005000,10.000000,15.000000,0.000438,0.035000,1.750000,50.000000,6.282230
0.005000,10.000000,15.000000,0.000638,0.045000,2.000000,50.000000,6.282250
0.005000,10.000000,15.000000,0.000891,0.056250,2.250000,50.000000,6.282275
0.005000,10.000000,15.000000,0.001203,0.068750,2.500000,50.000000,6.282306
0.005000,10.000000,15.000000,0.001581,0.082500,2.750000,50.000000,6.282344
0.005000,10.000000,15.000000,0.002031,0.097500,3.000000,50.000000,6.282389
0.005000,10.000000,15.000000,0.002559,0.113750,3.250000,50.000000,6.282442
0.005000,10.000000,15.000000,0.003172,0.131250,3.500000,50.000000,6.282503
0.005000,10.000000,15.000000,0.003875,0.150000,3.750000,50.000000,6.282573
0.005000,10.000000,15.000000,0.004675,0.170000,4.000000,50.000000,6.282653
0.005000,10.000000,15.000000,0.005578,0.191250,4.250000,50.000000,6.282743
0.005000,10.000000,15.000000,0.006591,0.213750,4.500000,50.000000,6.282844
0.005000,10.000000,15.000000,0.007719,0.237500,4.750000,50.000000,6.282957
0.005000,10.000000,15.000000,0.008969,0.262500,5.000000,50.000000,6.283082
0.005000,10.000347,15.000000,0.010347,0.288750,5.250000,50.000000,0.000035
0.005000,10.001860,15.000000,0.011859,0.316250,5.500000,50.000000,0.000186
0.005000,10.003514,15.000001,0.013513,0.345000,5.750000,50.000000,0.000352
0.005000,10.005314,15.000001,0.015313,0.375000,6.000000,50.000000,0.000532
0.005000,10.007267,15.000003,0.017266,0.406250,6.250000,50.000000,0.000727
0.005000,10.009378,15.000004,0.019378,0.438750,6.500000,50.000000,0.000939
0.005000,10.011657,15.000007,0.021656,0.472500,6.750000,50.000000,0.001168
0.005000,10.014107,15.000010,0.024106,0.507500,7.000000,50.000000,0.001414
0.005000,10.016735,15.000014,0.026734,0.543750,7.250000,50.000000,0.001678
0.005000,10.019547,15.000019,0.029547,0.581250,7.500000,50.000000,0.001960
0.005000,10.022551,15.000025,0.032550,0.620000,7.750000,50.000000,0.002263
0.005000,10.025751,15.000033,0.035750,0.660000,8.000000,50.000000,0.002585
0.005000,10.029153,15.000043,0.039153,0.701250,8.250000,50.000000,0.002928
0.005000,10.032767,15.000054,0.042766,0.743750,8.500000,50.000000,0.003293
0.005000,10.036595,15.000067,0.046594,0.787500,8.750000,50.000000,0.003680
0.005000,10.040644,15.000083,0.050644,0.832500,9.000000,50.000000,0.004089
0.005000,10.044923,15.000101,0.054922,0.878750,9.250000,50.000000,0.004523
0.005000,10.049434,15.000123,0.059434,0.926250,9.500000,50.000000,0.004980
0.005000,10.054188,15.000148,0.064187,0.975000,9.750000,50.000000,0.005463
0.005000,10.059187,15.000176,0.069187,1.025000,10.000000,50.000000,0.005972
0.005000,10.064441,15.000209,0.074441,1.076250,10.250000,50.000000,0.006507
