dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,9.998835,13.833334,0.000003,0.001250,0.250000,50.000000,6.282187
0.005000,9.998836,13.833334,0.000005,0.000291,-0.191783,-88.356621,6.282188
0.005000,9.998840,13.833334,0.000008,0.000655,0.072772,52.910951,6.282191
0.005000,9.998845,13.833334,0.000014,0.001164,0.101882,5.822029,6.282196
0.005000,9.998855,13.833334,0.000023,0.001819,0.130994,5.822486,6.282203
0.005000,9.998868,13.833334,0.000036,0.002620,0.160110,5.823234,6.282215
0.005000,9.998885,13.833334,0.000054,0.003566,0.189232,5.824346,6.282230
0.005000,9.998909,13.833334,0.000077,0.004658,0.218362,5.825894,6.282250
0.005000,9.998938,13.833334,0.000106,0.005895,0.247501,5.827952,6.282275
0.005000,9.998975,13.833334,0.000143,0.007279,0.276654,5.830593,6.282306
0.005000,9.999019,13.833334,0.000187,0.008808,0.305824,5.833889,6.282344
0.005000,9.999071,13.833334,0.000239,0.010483,0.335013,5.837914,6.282389
0.005000,9.999133,13.833334,0.000301,0.012304,0.364227,5.842742,6.282442
0.005000,9.999204,13.833334,0.000372,0.014271,0.393469,5.848445,6.282503
0.005000,9.999286,13.833334,0.000454,0.016385,0.422745,5.855096,6.282573
0.005000,9.999379,13.833333,0.000547,0.018645,0.452059,5.862771,6.282653
0.005000,9.999484,13.833333,0.000653,0.021052,0.481416,5.871543,6.282743
0.005000,9.999602,13.833333,0.000771,0.023607,0.510824,5.881486,6.282844
0.005000,9.999734,13.833333,0.000902,0.026308,0.540287,5.892675,6.282957
0.005000,9.999880,13.833333,0.001048,0.029157,0.569813,5.905186,6.283082
0.005000,10.000388,13.833333,0.001556,0.101567,14.481915,2782.420300,0.000035
0.005000,10.002077,13.833334,0.003245,0.337935,47.273675,6558.352155,0.000186
0.005000,10.003924,13.833334,0.005092,0.369314,6.275885,-8199.558032,0.000352
0.005000,10.005934,13.833335,0.007102,0.402079,6.552953,55.413470,0.000532
0.005000,10.008115,13.833336,0.009284,0.436228,6.829690,55.347568,0.000727
0.005000,10.010474,13.833338,0.011642,0.471758,7.106070,55.276012,0.000939
0.005000,10.013019,13.833341,0.014188,0.509039,7.456280,70.041983,0.001168
0.005000,10.015757,13.833344,0.016925,0.547504,7.692846,47.313056,0.001414
0.005000,10.018693,13.833349,0.019861,0.587207,7.940679,49.566758,0.001678
0.005000,10.021834,13.833355,0.023003,0.628285,8.215594,54.982933,0.001960
0.005000,10.025191,13.833362,0.026359,0.671309,8.604836,77.848360,0.002263
0.005000,10.028767,13.833370,0.029935,0.715269,8.791936,37.420007,0.002585
0.005000,10.032570,13.833381,0.033738,0.760499,9.046104,50.833617,0.002928
0.005000,10.036608,13.833394,0.037777,0.807723,9.444638,79.706752,0.003293
0.005000,10.040888,13.833408,0.042056,0.855906,9.636652,38.402946,0.003680
0.005000,10.045415,13.833426,0.046583,0.905431,9.904961,53.661758,0.004089
0.005000,10.050200,13.833447,0.051368,0.956943,10.302549,79.517552,0.004523
0.005000,10.055245,13.833471,0.056413,1.009065,10.424293,24.348838,0.004980
0.005000,10.060562,13.833498,0.061731,1.063499,10.886858,92.512882,0.005463
0.005000,10.066154,13.833530,0.067323,1.118466,10.993461,21.320667,0.005972
0.005000,10.072033,13.833567,0.073202,1.175709,11.448610,91.029713,0.006507
0.005000,10.078200,13.833609,0.079369,1.233498,11.557741,21.826364,0.007069
0.005000,10.084668,13.833657,0.085838,1.293682,12.036743,95.800264,0.007660
0.005000,10.091441,13.833710,0.092610,1.354474,12.158463,24.343990,0.008280
0.005000,10.098526,13.833771,0.099695,1.417065,12.518118,71.931130,0.008929
0.005000,10.105932,13.833840,0.107101,1.481237,12.834395,63.255329,0.009609
0.005000,10.113663,13.833917,0.114834,1.546446,13.041837,41.488397,0.010320
0.005000,10.121729,13.834003,0.122900,1.613290,13.368810,65.394693,0.011063
0.005000,10.130138,13.834100,0.131310,1.681917,13.725479,71.333697,0.011839
0.005000,10.138896,13.834207,0.140068,1.751572,13.930932,41.090582,0.012649
0.005000,10.148005,13.834326,0.149178,1.822027,14.090973,32.008201,0.013494
0.005000,10.157467,13.834458,0.158641,1.892578,14.110135,3.832476,0.014373
0.005000,10.167282,13.834603,0.168457,1.963220,14.128425,3.658019,0.015287
0.005000,10.177451,13.834764,0.178627,2.033996,14.155323,5.379617,0.016237
0.005000,10.187974,13.834940,0.189151,2.104864,14.173615,3.658275,0.017222
0.005000,10.198850,13.835133,0.200029,2.175682,14.163590,-2.004967,0.018242
0.005000,10.210081,13.835343,0.211262,2.246574,14.178370,2.956115,0.019299
0.005000,10.221667,13.835573,0.222850,2.317536,14.192279,2.781620,0.020392
0.005000,10.233607,13.835824,0.234794,2.388720,14.236985,8.941248,0.021522
0.005000,10.245904,13.836096,0.247093,2.459908,14.237496,0.102277,0.022689
0.005000,10.258556,13.836390,0.259749,2.531124,14.243274,1.155628,0.023894
0.005000,10.271564,13.836709,0.272761,2.602393,14.253705,2.086211,0.025136
0.005000,10.284928,13.837054,0.286129,2.673709,14.263270,1.912993,0.026417
0.005000,10.298649,13.837425,0.299855,2.745069,14.271972,1.740412,0.027736
0.005000,10.312728,13.837826,0.313940,2.817078,14.401777,25.960981,0.029094
0.005000,10.327165,13.838256,0.328383,2.888598,14.304017,-19.551969,0.030491
0.005000,10.341958,13.838718,0.343184,2.960135,14.307428,0.682051,0.031928
0.005000,10.357113,13.839213,0.358346,3.032434,14.459820,30.478536,0.033406
0.005000,10.372624,13.839743,0.373867,3.104201,14.353250,-21.313984,0.034924
0.005000,10.388496,13.840310,0.389748,3.176342,14.428356,15.021153,0.036483
0.005000,10.404728,13.840915,0.405992,3.248630,14.457612,5.851202,0.038084
0.005000,10.421320,13.841561,0.422596,3.320899,14.453703,-0.781944,0.039728
0.005000,10.438273,13.842249,0.439563,3.393391,14.498435,8.946479,0.041414
0.005000,10.455588,13.842982,0.456893,3.466071,14.535977,7.508452,0.043143
0.005000,10.473263,13.843761,0.474586,3.538477,14.481241,-10.947306,0.044916
0.005000,10.491303,13.844588,0.492645,3.611798,14.664100,36.571843,0.046734
0.005000,10.509705,13.845466,0.511068,3.684588,14.558031,-21.213755,0.048596
0.005000,10.528470,13.846396,0.529856,3.757561,14.594694,7.332560,0.050504
0.005000,10.547599,13.847382,0.549010,3.830985,14.684753,18.011859,0.052458
0.005000,10.567094,13.848425,0.568533,3.904538,14.710495,5.148396,0.054459
0.005000,10.586954,13.849528,0.588423,3.978042,14.700950,-1.909093,0.056508
